ArcSight_ArcSight,source,ArcSight:ArcSight
Carbon Black_Protection,sourcetype,carbonblack:protection:cef
Carbon Black_Protection,index,cb:cef
Cyber-Ark_Vault,sourcetype,cyberark:epv:cef
Cyber-Ark_Vault,index,netauth
CyberArk_PTA,sourcetype,cyberark:pta:cef
CyberArk_PTA,index,main
Microsoft_System or Application Event,source,CEFEventLog:System or Application Event
Microsoft_System or Application Event,index,oswin
Microsoft_Microsoft Windows,source,CEFEventLog:Microsoft Windows
Microsoft_Microsoft Windows,index,oswinsec
Incapsula_SIEMintegration,source,Imperva:Incapsula
Incapsula_SIEMintegration,index,netwaf
unknown,source,CEF:unknown
